delivery_station,hex,latitude,longitude,radius_miles,is_center
DAM1,878af6aa2ffffff,-2.8875076033184457,-60.10479171911465,2.0,True
DAM1,878af6ab5ffffff,-2.8996483126925243,-60.086400321719125,2.0,False
DAM1,878af6ab1ffffff,-2.8767506840291537,-60.085418538288934,2.0,False
DAM1,878af6a84ffffff,-2.8646126299512127,-60.10380954634146,2.0,False
DAM1,878af6aa3ffffff,-2.875369299220526,-60.12317863010323,2.0,False
DAM1,878af6aa0ffffff,-2.8982619607244633,-60.12416124616986,2.0,False
DAM1,878af6aa6ffffff,-2.910402920238361,-60.10577394625563,2.0,False
DBH5,87a881a5affffff,-19.980591078127425,-43.94122089977686,2.0,True
DBH5,87a881aedffffff,-19.992383795481395,-43.920099785844194,2.0,False
DBH5,87a881ae9ffffff,-19.97000101284835,-43.91955984891313,2.0,False
DBH5,87a88cdb4ffffff,-19.958206077385427,-43.94068026563999,2.0,False
DBH5,87a881a5bffffff,-19.968794801848365,-43.962340748069295,2.0,False
DBH5,87a881a58ffffff,-19.991177171468266,-43.96288211574209,2.0,False
DBH5,87a881a5effffff,-20.002971230884135,-43.94176157043305,2.0,False
DMG2,87a88cd80ffffff,-19.88981219058847,-43.98183335133232,2.0,True
DMG2,87a88cd86ffffff,-19.901618642745582,-43.960716864405825,2.0,False
DMG2,87a88cd82ffffff,-19.879216923892518,-43.96017564295761,2.0,False
DMG2,87a88cd83ffffff,-19.86740826997174,-43.9812914332682,2.0,False
DMG2,87a88cd81ffffff,-19.878002201558427,-44.002948562068006,2.0,False
DMG2,87a88cd85ffffff,-19.900403496087215,-44.00349121315068,2.0,False
DMG2,87a88cd84ffffff,-19.912211284597735,-43.98237530598934,2.0,False
DRJ3,87a8a0604ffffff,-22.942692888316103,-43.304381274598036,2.0,True
DRJ3,87a8a0631ffffff,-22.954073522988747,-43.28313883072046,2.0,False
DRJ3,87a8a0606ffffff,-22.932376697768778,-43.28261790188292,2.0,False
DRJ3,87a8a0600ffffff,-22.92099343413867,-43.303859636109074,2.0,False
DRJ3,87a8a0605ffffff,-22.931308103872713,-43.325622614313104,2.0,False
DRJ3,87a8a0623ffffff,-22.953004705568905,-43.32614499779623,2.0,False
DRJ3,87a8a0622ffffff,-22.964386862340312,-43.30490294860375,2.0,False
DSP5,87a8114abffffff,-22.996742175455722,-47.12594576438426,2.0,True
DSP5,87a8114aaffffff,-23.008581623105435,-47.10492332027124,2.0,False
DSP5,87a81148cffffff,-22.986989992110747,-47.104275796071,2.0,False
DSP5,87a81148dffffff,-22.975148324988556,-47.125297573950284,2.0,False
DSP5,87a8114f6ffffff,-22.98489907200713,-47.14696608683485,2.0,False
DSP5,87a8114a9ffffff,-23.006489667340567,-47.14761498632365,2.0,False
DSP5,87a8114a8ffffff,-23.018330552554865,-47.126593997914874,2.0,False
DSP4,87a81001effffff,-23.66860906871931,-46.58941786278897,2.0,True
DSP4,87a810013ffffff,-23.680312006839756,-46.56833067237043,2.0,False
DSP4,87a8100adffffff,-23.65887403916549,-46.56769986229353,2.0,False
DSP4,87a81001affffff,-23.64716874774093,-46.5887863778758,2.0,False
DSP4,87a810018ffffff,-23.656902284069446,-46.61050306634131,2.0,False
DSP4,87a81001cffffff,-23.678339355493126,-46.61113526802296,2.0,False
DSP4,87a810011ffffff,-23.690043788094716,-46.59004938989741,2.0,False
DBR9,87a8103a0ffffff,-23.52990527670899,-46.79954137788029,2.0,True
DBR9,87a8103a6ffffff,-23.541648777561957,-46.77847497187166,2.0,False
DBR9,87a8103a2ffffff,-23.52018185908426,-46.77783746956431,2.0,False
DBR9,87a8103a3ffffff,-23.508436042715683,-46.79890320380528,2.0,False
DBR9,87a8103a1ffffff,-23.518157981968827,-46.82060574317785,2.0,False
DBR9,87a8103a5ffffff,-23.539623955420527,-46.82124463132094,2.0,False
DBR9,87a8103a4ffffff,-23.551368935895685,-46.800179594523875,2.0,False
DSP2,87a81072affffff,-23.489122071522953,-46.519857650616274,2.0,True
DSP2,87a810705ffffff,-23.500836977202848,-46.498771287856414,2.0,False
DSP2,87a810701ffffff,-23.479350194390662,-46.49814292429622,2.0,False
DSP2,87a81070cffffff,-23.46763294766434,-46.51922861170081,2.0,False
DSP2,87a81072bffffff,-23.477403340094877,-46.540942045811065,2.0,False
DSP2,87a810728ffffff,-23.498889233772264,-46.541571801861224,2.0,False
DSP2,87a81072effffff,-23.510605625409106,-46.52048673157223,2.0,False
DPR2,87a831364ffffff,-25.48967436454252,-49.25565113361045,2.0,True
DPR2,87a831ad9ffffff,-25.50148639211174,-49.23474726036095,2.0,False
DPR2,87a831366ffffff,-25.48065002506365,-49.234029271357855,2.0,False
DPR2,87a831360ffffff,-25.46883572487775,-49.25493250479843,2.0,False
DPR2,87a831365ffffff,-25.477858565964034,-49.27655232826385,2.0,False
DPR2,87a831acbffffff,-25.498693615846232,-49.277271643705696,2.0,False
DPR2,87a831acaffffff,-25.51050714302466,-49.25636980957212,2.0,False
DFR2,87a91b094ffffff,-27.62902332986468,-48.645625315420475,2.0,True
DFR2,87a91b549ffffff,-27.640500469918738,-48.62458228961064,2.0,False
DFR2,87a91b096ffffff,-27.62025834594129,-48.62388098620082,2.0,False
DFR2,87a91b090ffffff,-27.608778669775173,-48.64492335792298,2.0,False
DFR2,87a91b095ffffff,-27.617541995650516,-48.66666579614944,2.0,False
DFR2,87a91b0b3ffffff,-27.637783040750637,-48.66736845388055,2.0,False
DFR2,87a91b0b2ffffff,-27.64926184009586,-48.64632731938243,2.0,False
DRS5,87a90e91cffffff,-29.907234010845915,-51.16753230944183,2.0,True
DRS5,87a90e911ffffff,-29.91873258470366,-51.14670085650606,2.0,False
DRS5,87a90e91effffff,-29.899332013280002,-51.145918229636415,2.0,False
DRS5,87a90e918ffffff,-29.887830938421107,-51.16674906604794,2.0,False
