station_code,total_packages,latitude,longitude
DPE4,4282,-8.037647264470824,-34.9055301526188
DRJ3,3355,-22.94584694766387,-43.175358224102034
DBR9,3221,-23.547654225766614,-46.650133714489044
DPB3,3003,-7.119085279949439,-34.83479466822703
DBH5,4530,-19.93581623392464,-43.94013966801887
DBS5,2907,-15.831795770475917,-48.01869815069665
DBS5,2902,-15.842352112757476,-48.04008292285975
DBR9,2868,-23.569118346717044,-46.65076709520078
DCE3,2755,-3.746710715970436,-38.49535306266148
DPE4,2549,-8.133014269587184,-34.906428277219526
DCE3,2522,-3.7343614804636003,-38.516027073566384
DRJ3,2490,-22.977868201564977,-43.19764004063084
DBS5,2483,-15.745317115452096,-47.8897038728596
XRJ2,2448,-22.8931237386847,-43.10955425110918
DCE3,2417,-3.722647696213692,-38.49500711507693
DRJ3,2391,-22.956176439777273,-43.1971219878599
DGO2,2258,-16.71219632295375,-49.26571742788438
DRS5,2209,-30.03139378096462,-51.193849019724276
DBR9,2326,-23.60030920096314,-46.67311252027863
DSP5,2116,-22.902644376587524,-47.05899558828278
DPB3,2085,-7.1429651866969985,-34.83501645125194
DBS5,1991,-15.833721194427696,-47.97659381039819
DRJ3,1934,-22.93343372909259,-43.239611671110985
DRJ3,1905,-22.924146864521294,-43.17484095250763
DRJ3,1897,-22.923107281831612,-43.217848641927105
DBR9,1880,-23.557393041215875,-46.6718442848154
DBR9,1874,-23.53592658799947,-46.67121023058761
DBR9,1864,-23.580839830992765,-46.62968790334816
DRS5,1836,-30.03926201936339,-51.215463292853116
DGO2,1815,-16.689356635060083,-49.26500824751402
DPR2,1782,-25.436170892087354,-49.27511383892172
DSA8,1778,-13.001020893279646,-38.462035772374136
DPE4,1764,-8.109174318859099,-34.90620372316668
DPB3,1743,-7.095204508537007,-34.83457290026207
DBS5,1720,-15.768380561559049,-47.890369220279155
DCE3,1701,-3.7349963492729654,-38.47433401025912
DBS5,1695,-15.825069332146446,-47.91309195650758
DPE4,1676,-8.025685104782921,-34.926149904385994
DRJ3,1633,-22.967541550216147,-43.17587553093879
DBS5,1610,-15.755898114797612,-47.911093730399585
DSP4,2418,-23.602296030582192,-46.63032065250046
DPE4,1603,-8.049607030907925,-34.88491153984721
DPB3,1590,-7.107067129485634,-34.85538273967773
DSP4,1571,-23.623746640787243,-46.63095344391569
XRJ2,1568,-22.914832318303983,-43.11006928430984
DSP4,1905,-23.621758899799907,-46.673746701522234
DBS5,1543,-15.78953363514258,-47.93314935729618
DBH5,1532,-19.958206077385427,-43.94068026563999
DBH5,1528,-19.94640758700627,-43.961799416958065
DRJ3,1517,-22.988190484686346,-43.219404931663256
DGO2,1511,-16.70189061146992,-49.244389974874224
DBH5,1600,-19.947613384733096,-43.91901994845556
DBR9,1487,-23.52419513747337,-46.69228473933245
DES2,1480,-20.347875212710306,-40.28580582272535
DCE3,1464,-3.746075354670062,-38.537048653958436
DBS5,1442,-15.814496237353353,-47.89170004561263
DBH5,1431,-19.968794801848365,-43.962340748069295
DRS5,1397,-30.050748912142033,-51.19463328643407
DRJ3,1380,-22.911731211339482,-43.239092232987026
DBH5,1848,-19.92401553221245,-43.96125812240477
DSP4,1373,-23.631483222180243,-46.6954588003016
DBR9,1334,-23.545663919398613,-46.69291946677354
DPE4,1317,-8.061490808133499,-34.90575466086787
DSA8,1275,-12.98914053262108,-38.482978917263054
DPE4,1254,-8.049530294522679,-34.92637511986584
DSP4,1269,-23.592557489139153,-46.608606714679254
DCE3,1253,-3.7584251730935834,-38.51637374245384
DBR9,1315,-23.559378045862147,-46.62905519645475
DPR2,1230,-25.406284669340888,-49.25277690121612
DBH5,1224,-19.980591078127425,-43.94122089977686
DES2,1210,-20.291911643048465,-40.30617231373172
DCE3,1195,-3.770774032822217,-38.49569903354908
DPB3,1195,-7.071322880711425,-34.83435114735549
DPR2,1182,-25.415318274211263,-49.27439466501261
DGO2,1172,-16.699661322506255,-49.28633371416172
DSP4,1368,-23.612029835036054,-46.65203398351849
DBR9,1156,-23.567127122682983,-46.69355423658693
DPE4,1148,-8.037567387904256,-34.9469967126313
DCE3,1135,-3.757789313092042,-38.55807185078061
DRS5,1131,-30.0235200641844,-51.172232837921186
DBR9,1140,-23.590576884422585,-46.651400518209236
DSP4,1117,-23.641202799490827,-46.717170273647575
DMG2,1105,-19.878002201558427,-44.002948562068006
DCE3,1105,-3.7337245834412496,-38.557723762681654
DBS5,1102,-15.827921366188777,-48.10288700535002
DCE3,1091,-3.7948376382828557,-38.49604502774206
DRS5,1087,-30.058613348011406,-51.21624822645254
DBR9,1084,-23.629477702307295,-46.738244787647275
DSP2,1082,-23.551600276456053,-46.564546444125476
XRJ2,1068,-22.90346913249527,-43.131316086604244
XSJ1,1051,-23.2137375358303,-45.91165066846327
DPR2,1049,-25.427140874213684,-49.25349538860567
DRJ3,1040,-22.93447919539254,-43.196603970378895
DSP2,1040,-23.53988325274425,-46.5856295860962
XRJ2,1033,-22.904485403082575,-43.08830710910238
DSP5,1029,-22.88102439689388,-47.05834965531576
XPB1,1026,-7.2337185157168635,-35.87322202154736
DCE3,1022,-3.818901523865559,-38.49639104524275
DPR2,1014,-25.46603900140892,-49.297450839274155
DBR9,1004,-23.578853913487492,-46.6724783813777
DBS5,995,-15.8298624922491,-48.06079589697832
DES2,992,-20.358870493361913,-40.30742381017661
DRJ3,985,-22.92205613756244,-43.26085488592231
DPE4,984,-8.192576250496778,-34.92772673439866
DSP4,977,-23.643203006163155,-46.674380925112615
DBH5,1493,-19.92522091640634,-43.91848008446789
DRS5,969,-30.042878996764546,-51.17301643739725
DSP2,965,-23.485204459072968,-46.60544697294101
DSA8,962,-12.989349678340735,-38.44074424932131
DRJ3,953,-22.88896661702721,-43.28157615061226
DMG2,988,-19.891022039953526,-43.93905858230942
DSA8,938,-12.98892454850996,-38.52521734187971
DBS5,935,-15.802016003604518,-47.91242583760075
DSP2,932,-23.52231818774095,-46.499399693419015
DBR9,1050,-23.61003677791658,-46.69482390334686
DSP2,918,-23.56135152429336,-46.5862608600942
DES2,917,-20.325558278815915,-40.28538938229259
DSP2,909,-23.446138257722556,-46.51859961482176
DGO2,906,-16.679048015297816,-49.24368146275191
DBR9,895,-23.52618452542674,-46.64950037606994
XPB1,889,-7.2216357925310115,-35.89388228578822
DSP2,888,-23.530128765922207,-46.56391588690666
DPR2,887,-25.424346797813048,-49.29601107179167
DSP4,894,-23.61598130745602,-46.56643836859523
DRS5,877,-30.004154821822716,-51.171449289327995
DBH5,1053,-19.934605546708703,-43.98291729724287
DES2,871,-20.280909686783065,-40.28455658719413
DPE4,867,-8.085257496771273,-34.947448604178646
DBR9,860,-23.5533884795921,-46.75740653055205
DPE4,859,-8.097289622957993,-34.88535915714156
DPR2,855,-25.457017657025993,-49.275833060004
DSP4,855,-23.65292407243187,-46.696093739644965
