Campaign,City,Latitude,Longitude,Target Radius SEARCH,Target Radius DEMAND GENERATION,DeliveryStation
G,Belo Horizonte,-20.006481,-43.927457,4,4,DBH5
G,Belo Horizonte,-19.957146,-43.986992,4,4,DBH5
G,Belo Horizonte,-20.00361,-43.847514,4,4,DBH5
G,Belo Horizonte,-19.926019,-43.918988,4,4,DBH5
G,Belo Horizonte,-20.008382,-44.016092,4,4,DBH5
G,Sao Paulo,-23.530948,-46.770656,1,4,DBR9
G,Sao Paulo,-23.509153,-46.811599,1,4,DBR9
G,Sao Paulo,-23.552742,-46.757002,1,4,DBR9
G,Sao Paulo,-23.509149,-46.757015,1,4,DBR9
G,Sao Paulo,-23.530941,-46.74336,1,4,DBR9
G,Sao Paulo,-23.487354,-46.825241,1,4,DBR9
G,Sao Paulo,-23.59634,-46.811609,1,4,DBR9
G,Sao Paulo,-23.552733,-46.7297,1,4,DBR9
G,Sao Paulo,-23.50914,-46.729722,1,4,DBR9
G,Sao Paulo,-23.487348,-46.743377,1,4,DBR9
G,Sao Paulo,-23.509138,-46.866184,1,4,DBR9
G,Sao Paulo,-23.596335,-46.838919,1,4,DBR9
G,Sao Paulo,-23.487347,-46.852528,1,4,DBR9
G,Sao Paulo,-23.53093,-46.716063,1,4,DBR9
G,Sao Paulo,-23.530928,-46.879843,1,4,DBR9
G,Sao Paulo,-23.465555,-46.838877,1,4,DBR9
G,Sao Paulo,-23.574523,-46.716036,1,4,DBR9
G,Sao Paulo,-23.574522,-46.879871,1,4,DBR9
G,Sao Paulo,-23.596326,-46.729678,1,4,DBR9
G,Sao Paulo,-23.596325,-46.866229,1,4,DBR9
G,Sao Paulo,-23.552719,-46.702399,1,4,DBR9
G,Sao Paulo,-23.509125,-46.70243,1,4,DBR9
G,Sao Paulo,-23.487335,-46.879816,1,4,DBR9
G,Sao Paulo,-23.509124,-46.893476,1,4,DBR9
G,Sao Paulo,-23.618127,-46.852584,1,4,DBR9
G,Sao Paulo,-23.465545,-46.866161,1,4,DBR9
G,Sao Paulo,-23.530913,-46.688766,1,4,DBR9
G,Sao Paulo,-23.596312,-46.702368,1,4,DBR9
G,Sao Paulo,-23.574506,-46.688731,1,4,DBR9
G,Sao Paulo,-23.59631,-46.89354,1,4,DBR9
G,Sao Paulo,-23.574505,-46.907177,1,4,DBR9
G,Sao Paulo,-23.618116,-46.71601,1,4,DBR9
