Campaign,Type,delivery_station,DS area (km²),MKT area (km²),Diff mkt-ds (km²),MKT/DS %
A,Demand Generation,DBH5,139.98,139.98,0.0,100.0
A,Demand Generation,DMG2,238.03,238.03,0.0,100.0
A,Demand Generation,DPE4,290.79,268.71,-22.08,92.41
A,Demand Generation,DSP4,187.03,162.67,-24.36,86.97
A,Demand Generation,DRJ3,131.35,106.83,-24.52,81.33
A,Demand Generation,DSP2,261.46,205.98,-55.47,78.78
A,Demand Generation,DSA8,223.32,172.33,-50.98,77.17
A,Demand Generation,DCE3,408.36,295.58,-112.78,72.38
A,Demand Generation,DSP5,588.9,393.63,-195.27,66.84
A,Demand Generation,DBR9,408.86,212.69,-196.16,52.02
A,Demand Generation,XCP1,1573.47,793.52,-779.95,50.43
A,Search,DBH5,139.98,139.98,0.0,100.0
A,Search,DMG2,238.03,238.03,0.0,100.0
A,Search,DPE4,290.79,268.71,-22.08,92.41
A,Search,DSP4,187.03,162.67,-24.36,86.97
A,Search,DRJ3,131.35,106.83,-24.52,81.33
A,Search,DSP2,261.46,205.98,-55.47,78.78
A,Search,DSA8,223.32,172.33,-50.98,77.17
A,Search,DCE3,408.36,295.58,-112.78,72.38
A,Search,DSP5,588.9,393.63,-195.27,66.84
A,Search,DBR9,408.86,212.69,-196.16,52.02
A,Search,XCP1,1573.47,793.52,-779.95,50.43
B,Demand Generation,DMG2,238.03,238.03,0.0,100.0
B,Demand Generation,DRJ3,131.35,131.35,0.0,100.0
B,Demand Generation,DSP2,261.46,261.46,-0.0,100.0
B,Demand Generation,DPE4,290.79,290.78,-0.01,100.0
B,Demand Generation,PUM2,66.77,66.77,0.0,100.0
B,Demand Generation,DBH5,139.98,139.82,-0.16,99.89
B,Demand Generation,DSP4,187.03,183.85,-3.18,98.3
B,Demand Generation,DBR9,408.86,399.05,-9.81,97.6
B,Demand Generation,DSP5,588.9,570.77,-18.13,96.92
B,Demand Generation,DCE3,408.36,381.24,-27.12,93.36
B,Demand Generation,XCP1,1573.47,611.65,-961.82,38.87
B,Search,DMG2,238.03,238.03,0.0,100.0
B,Search,DRJ3,131.35,131.35,0.0,100.0
B,Search,PUM2,66.77,66.77,0.0,100.0
B,Search,DBH5,139.98,139.82,-0.16,99.89
B,Search,DCE3,408.36,381.24,-27.12,93.36
B,Search,DPE4,290.79,261.41,-29.38,89.9
B,Search,DSP4,187.03,162.37,-24.66,86.82
B,Search,DSP2,261.46,196.58,-64.88,75.19
B,Search,DBR9,408.86,280.57,-128.28,68.62
B,Search,DSP5,588.9,229.57,-359.33,38.98
B,Search,XCP1,1573.47,189.29,-1384.19,12.03
C,Demand Generation,DRJ3,131.35,47.28,-84.08,35.99
C,Demand Generation,DSP4,187.03,52.27,-134.76,27.95
C,Demand Generation,DPE4,290.79,79.41,-211.39,27.31
C,Demand Generation,DBH5,139.98,32.29,-107.69,23.07
C,Demand Generation,DMG2,238.03,32.62,-205.41,13.7
C,Demand Generation,DBR9,408.86,48.13,-360.73,11.77
C,Search,DRJ3,131.35,47.28,-84.08,35.99
C,Search,DSP4,187.03,52.27,-134.76,27.95
C,Search,DPE4,290.79,79.41,-211.39,27.31
C,Search,DBH5,139.98,32.29,-107.69,23.07
C,Search,DMG2,238.03,32.62,-205.41,13.7
C,Search,DBR9,408.86,48.13,-360.73,11.77
D,Demand Generation,DSP5,588.9,475.13,-113.77,80.68
D,Demand Generation,DMG2,238.03,188.92,-49.11,79.37
D,Demand Generation,DBR9,408.86,311.11,-97.75,76.09
D,Demand Generation,DBH5,139.98,93.2,-46.78,66.58
D,Demand Generation,DSP4,187.03,97.01,-90.02,51.87
D,Demand Generation,DPE4,290.79,136.52,-154.27,46.95
D,Demand Generation,XCP1,1573.47,353.29,-1220.18,22.45
D,Demand Generation,DRJ3,131.35,24.41,-106.94,18.58
D,Demand Generation,DRS5,567.76,72.27,-495.49,12.73
D,Demand Generation,PUM2,66.77,8.09,-58.67,12.12
D,Search,DSP5,588.9,475.13,-113.77,80.68
D,Search,DMG2,238.03,188.92,-49.11,79.37
D,Search,DBR9,408.86,311.11,-97.75,76.09
D,Search,DBH5,139.98,93.2,-46.78,66.58
D,Search,DSP4,187.03,97.01,-90.02,51.87
D,Search,DPE4,290.79,136.52,-154.27,46.95
D,Search,XCP1,1573.47,353.29,-1220.18,22.45
D,Search,DRJ3,131.35,24.41,-106.94,18.58
D,Search,DRS5,567.76,72.27,-495.49,12.73
D,Search,PUM2,66.77,8.09,-58.67,12.12
E,Demand Generation,DSP5,588.9,475.11,-113.79,80.68
E,Demand Generation,DMG2,238.03,188.93,-49.1,79.37
E,Demand Generation,DBR9,408.86,311.14,-97.72,76.1
E,Demand Generation,DBH5,139.98,93.19,-46.79,66.57
E,Demand Generation,DSP4,187.03,96.94,-90.09,51.83
E,Demand Generation,DPE4,290.79,136.5,-154.29,46.94
E,Demand Generation,XCP1,1573.47,353.3,-1220.17,22.45
E,Demand Generation,DRJ3,131.35,24.41,-106.94,18.58
E,Demand Generation,DRS5,567.76,72.27,-495.48,12.73
E,Demand Generation,PUM2,66.77,8.09,-58.68,12.12
E,Search,DSP5,588.9,475.11,-113.79,80.68
E,Search,DMG2,238.03,188.93,-49.1,79.37
E,Search,DBR9,408.86,311.14,-97.72,76.1
E,Search,DBH5,139.98,93.19,-46.79,66.57
E,Search,DSP4,187.03,96.94,-90.09,51.83
E,Search,DPE4,290.79,136.5,-154.29,46.94
E,Search,XCP1,1573.47,353.3,-1220.17,22.45
E,Search,DRJ3,131.35,24.41,-106.94,18.58
E,Search,DRS5,567.76,72.27,-495.48,12.73
E,Search,PUM2,66.77,8.09,-58.68,12.12
F,Demand Generation,DSP5,588.9,475.11,-113.79,80.68
F,Demand Generation,DMG2,238.03,188.93,-49.1,79.37
F,Demand Generation,DBR9,408.86,311.14,-97.72,76.1
F,Demand Generation,DBH5,139.98,93.19,-46.79,66.57
F,Demand Generation,DSP4,187.03,96.94,-90.09,51.83
F,Demand Generation,DPE4,290.79,136.5,-154.29,46.94
F,Demand Generation,XCP1,1573.47,353.3,-1220.17,22.45
F,Demand Generation,DRJ3,131.35,24.41,-106.94,18.58
F,Demand Generation,PUM2,66.77,8.09,-58.68,12.12
F,Search,DSP5,588.9,475.11,-113.79,80.68
F,Search,DMG2,238.03,188.93,-49.1,79.37
F,Search,DBR9,408.86,311.14,-97.72,76.1
F,Search,DBH5,139.98,93.19,-46.79,66.57
F,Search,DSP4,187.03,96.94,-90.09,51.83
F,Search,DPE4,290.79,136.5,-154.29,46.94
F,Search,XCP1,1573.47,353.3,-1220.17,22.45
F,Search,DRJ3,131.35,24.41,-106.94,18.58
F,Search,PUM2,66.77,8.09,-58.68,12.12
