nome,endereco,lat,lon,DS
"South Beach | Açaí, Sorveteria e Cremes","Av. Oceano Atlântico, 870 - Intermares, Cabedelo - PB",-7.0441171,-34.8411635,DPB3
Sorveteria e Açaíteria New Big Bessa,"R. Pres. Washington Luís, 70 - Bessa, João Pessoa - PB",-7.0624127,-34.8423053,DPB3
Coffee Cake Açaiteria,"Av. Oceano Atlântico, 422 - Sala, 04 - Intermares, Cabedelo - PB",-7.0400552,-34.8393147,DPB3
Açaí Jacaré Beach,"R. Clodoaldo Gouveia, 214 - Praia Do Jacare, Cabedelo - PB",-7.0407008,-34.8552364,DPB3
Açaí do Pará Bessa,"R. Maria da Penha Ribeiro de Lima, 75 - Bessa, João Pessoa - PB",-7.0589697,-34.8435181,DPB3
Açaí Bessa Beach,"Av. Arthur Monteiro de Paiva - Bessa, João Pessoa - PB",-7.0648141,-34.8404695,DPB3
Açaí da Hill Point,"Rua Mar das Antilhas, Praça Durval Portela - Intermares, Cabedelo - PB",-7.0425897,-34.844207,DPB3
Praioô Sorveteria & Cia,"Rua universitária Maria das Graças Ribeiro de Alencar, Av. Pres. Afonso Pena, 56 - Bairro do Bessa, João Pessoa - PB",-7.059858,-34.843214,DPB3
Quiosque Açaí e Sabor,"Av. Pres. Nilo Peçanha, 385 - Bessa, João Pessoa - PB",-7.0679422,-34.8430327,DPB3
Reino do Sorvete - Bessa,"Av. Arthur Monteiro de Paiva, 1066 - Bessa, João Pessoa - PB",-7.0652518,-34.8402945,DPB3
Praça do açaí de Intermares,"Av. Oceano Atlântico, 1164 - Intermares, Cabedelo - PB",-7.0416119,-34.8400082,DPB3
Açaí Empório Jardim Oceania,"Jardim Oceania, João Pessoa - PB",-7.0880888,-34.8338548,DPB3
Praçaí - Intermares,"Av. Oceano Pacífico, s/n - Intermares, Cabedelo - PB",-7.0415529,-34.8402641,DPB3
Açaí Da Praia Do Poço,"R. Vitorino Cardoso - Lot. Leonor, Cabedelo - PB",-7.0250419,-34.8307286,DPB3
Toca da Árvore,"R. Pôr do Sol, s/n - Jacaré - Portal do Poço, Cabedelo - PB",-7.0395417,-34.8552836,DPB3
Pé de Fruta - Cabedelo,"Avenida Litorânea, 1592 - loja 04 - Ponta de Campina, Cabedelo - PB",-7.032473,-34.8350052,DPB3
Sorveteria Tropical,"R. Jair Cunha Cavalcanti, 105 - Lot. Oceania VI, Cabedelo - PB",-7.0298859,-34.8478107,DPB3
Sorveteria Trilhas da Amazônia - Tambaú | João Pessoa,"Av. Antônio Lira, 751 - Loja 125 - Tambaú, João Pessoa - PB",-7.1193055,-34.8241392,DPB3
Dream Açaí,"R. Profa. Severina de Sousa Souto, 62 - Jardim Oceania, João Pessoa - PB",-7.0966409,-34.8363006,DPB3
Varejão do Açai,"R. Joaquim Pires Ferreira, 654 - B dos Estados, João Pessoa - PB",-7.1059179,-34.8567042,DPB3
Chaveiro Cabedelo,"Golfo de Veneza, s/n - Intermares, Cabedelo - PB",-7.0444579,-34.8452304,DPB3
BessaMar Chaveiro,"Av. Pres. Afonso Pena, 449 - Sala 101 - Bessa, João Pessoa - PB",-7.0693831,-34.8374284,DPB3
Chaveiro dois Irmão,"R. Pres. Washington Luís, 595 - Bessa, João Pessoa - PB",-7.063958,-34.846658,DPB3
Fênix Chaves,"Av. Ambrósio Miranda de Araújo - Renascer, Cabedelo - PB",-7.0734281,-34.8558553,DPB3
"Conveniência, banca e Chaveiro Paulista","R. Severino Nicolau de Melo, 1010 - Jardim Oceania, João Pessoa - PB",-7.0770634,-34.8388725,DPB3
Chaveiro manaira,"Praça skate plaza manaira, Av. Gov. Flávio Ribeiro Coutinho - Aeroclube, João Pessoa - PB",-7.0974575,-34.8437043,DPB3
Farias Chaveiro 24 Horas,"R. Dr. Severino Procópio, 327 - Expedicionários, João Pessoa - PB",-7.1278859,-34.8547816,DPB3
Chaveiro DM jampa,"Rua Virgolino Florentino da Costa115 - Manaíra, João Pessoa - PB",-7.1097069,-34.8370341,DPB3
Srchaveiro & Relojoeiro,"R. Francisco Leocádio Ribeiro Coutinho, 201 - Sala 117 - Bessa, João Pessoa - PB",-7.0844071,-34.8464209,DPB3
Chaveiro 24 horas,"Tv. Frutuoso Barbosa, 54 - Centro, João Pessoa - PB",-7.1184314,-34.8825918,DPB3
JP Chaveiro Bessa shopping,"Rua Francisco leocardio ribeiro coutinho 55. Aeroclube - Bessa, João Pessoa - PB",-7.0845444,-34.8406427,DPB3
SOS Chaveiro,"R. Josimar de Castro Barreto, 171 - Estados, João Pessoa - PB",-7.1086936,-34.85643,DPB3
Chaveiro & Carimbo do Bessa - Mag Shopping,"Av. Gov. Flávio Ribeiro Coutinho, 115 - Manaíra, João Pessoa - PB",-7.0975715,-34.8340447,DPB3
Chaveiro Prime 24h,"R. Diogo Velho, 293A - Centro, João Pessoa - PB",-7.1241285,-34.8813637,DPB3
Big Jack comida de rua com INSPIRAÇÃO texana,"Av. Mar Vermelho, QUADRA 12 - LOTE 01 - Intermares, Cabedelo - PB",-7.0454331,-34.8419735,DPB3
Sr. Gás - Disk Gás e Água,"R. Pres. Washington Luís, 701 - Bessa, João Pessoa - PB",-7.0641502,-34.847759,DPB3
Chaveiro Metrópole,"Av. Juarez Távora, 379 - Torre, João Pessoa - PB",-7.1201729,-34.8669103,DPB3
Hotchêdog cachorro quente gaúcho,"R. Pres. Washington Luís, 535 - Bessa, João Pessoa - PB",-7.0637068,-34.8462041,DPB3
Byte Bessa Informática - Assistência Técnica Especializada em Notebooks e Desktops,"Av. Pres. Afonso Pena, 1090 - Sala 101 - Bessa, João Pessoa - PB",-7.0642611,-34.8414427,DPB3
Disk Gás e Água Intermares,"R. Golfo de Gabis, 204 - Intermares, Cabedelo - PB",-7.0360699,-34.8414333,DPB3
Chaveiro Principal 24h - JP,"Av. Dr. Apolônio da Nóbrega, 57 - Castelo Branco, João Pessoa - PB",-7.1303573,-34.8448834,DPB3
Bora lá Hamburgueria,"Av. Pres. Café Filho, 549 - sala 01 - Bessa, João Pessoa - PB",-7.0685876,-34.8432018,DPB3
Cirne Informática João Pessoa,"Av. Pres. Afonso Pena, 746 - 1° Andar - Bessa, João Pessoa - PB",-7.066763,-34.8394926,DPB3
Disk água Tropical,"Av: presidente Afonso Pena 564 B - Bessa, João Pessoa - PB",-7.0679589,-34.8384219,DPB3
Chaveiro 24 horas,"Av. Júlia Freire, 1398 - Expedicionários, João Pessoa - PB",-7.1212669,-34.8531973,DPB3
SR Informática - Assistência técnica,r. SR Informática Conectando você às melhores soluções. 11 de abr. de 2026,-7.126698,-34.8967886,DPB3
Ivan Água e Gás,"R. José Ladislau de Carvalho, 102 - Bessa, João Pessoa - PB",-7.0713689,-34.8457854,DPB3
Chaveiro Evolucao Das Chaves 24h,"R. Profa. Severina de Sousa Souto, 62 - Manaíra, João Pessoa - PB",-7.0966409,-34.8363006,DPB3
Espetinho da praia Intermares,"Av. Oceano Atlântico, 1972 - Intermares, Cabedelo - PB",-7.0449254,-34.8416297,DPB3
Capitalmaq Peças e Serviços Máquinas de Lavar Roupas,"Av. Pres. Nilo Peçanha, 619 - Bessa, João Pessoa - PB",-7.0686368,-34.8456545,DPB3
Disk-Água Intermares,"Av. Mar Vermelho, 25 - Intermares, Cabedelo - PB",-7.0431312,-34.8458558,DPB3
Chaveiro posto Big,"Av. Pres. Epitácio Pessoa - Cabo Branco, João Pessoa - PB",-7.1195995,-34.8262648,DPB3
Restaurante JK - Petiscaria e Lanchonete,"Av. Pres. Delfim Moreira, 35 - Bessa, João Pessoa - PB",-7.0648804,-34.8405934,DPB3
Eletrônica Gonçalves,"Av. Mar Cáspio, 283 - Intermares, Cabedelo - PB",-7.0478589,-34.8466895,DPB3
Portal Gás e Água,"R. do Golfinho - Lot. Oceania VI, Cabedelo - PB",-7.027815,-34.8443003,DPB3
Chaveiro Jampa,"R. Jorn. Jaír Alves dos Santos, 143 - AP 202 - Penha, João Pessoa - PB",-7.1633115,-34.7980649,DPB3
Empadinhas Barnabé - Intermares,"Av. Mar Mediterrâneo - Intermares, Cabedelo - PB",-7.046289,-34.8423176,DPB3
Reparo Certo,"Av. Pres. Nilo Peçanha, 373 - 201 - Bessa, João Pessoa - PB",-7.067916,-34.842914,DPB3
Gás e Água,"R. Vitorino Cardoso, 398 - Ponta de Campina, Cabedelo - PB",-7.0313071,-34.833975,DPB3
A Samaritana Lanches Intermares | Melhor Cachorro-quente da cidade,"Av. Oceano Atlântico, 620 - Intermares, Cabedelo - PB",-7.0430866,-34.8407709,DPB3
KoneCell,"Av. Pres. Nilo Peçanha, 527 - SL 04 - Bessa, João Pessoa - PB",-7.0683202,-34.8447524,DPB3
Maurício Gás e Água Mineral,"R. Norberto de Castro Nogueira, 1381 - Jardim Oceania, João Pessoa - PB",-7.0770891,-34.8324611,DPB3
Cantinho Regional,"Av. Pres. Nilo Peçanha, 68 - Bessa, João Pessoa - PB",-7.0669333,-34.8403022,DPB3
Starcell multiserviços,"R. Pres. Washington Luís, 369 - Bessa, João Pessoa - PB",-7.0632704,-34.8449521,DPB3
"Disk água Nova opção, gás e água","R. Garibaldi Teixeira de Carvalho - Jardim Oceania, João Pessoa - PB",-7.0779998,-34.8337812,DPB3
